id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
665257,"Lovely cabin, great Asheville spot",2600734,Jack,28806,35.59078366,-82.59146637,Entire home/apt,105,7,47,8/5/2015,1.06,1,326
2746729,Glamping w HOT TUB + AC!,4295819,Joanna And Josh,28806,35.58496791,-82.632199,Entire home/apt,125,2,65,3/29/2016,2.69,4,228
6919450,"Good size bedroom,  private",36223353,Diana,28806,35.6265999,-82.63761795,Private room,45,1,0,,,1,364
12286328,Mixed Dorm,746673,BonPaul,28806,35.57915861,-82.59639207,Shared room,24,1,0,,,6,361
156926,Mixed Dorm Bunk at BPS Hostel,746673,BonPaul,28806,35.57775534,-82.59499555,Shared room,24,1,114,4/7/2016,2.02,6,353
3767793,Modern Home - Views - HOT TUB,9385592,Kelsey,28806,35.63595307,-82.64939751,Entire home/apt,105,2,24,3/25/2016,1.15,3,337
5927700,Bright Suite with Sunroom,27672030,Jaclynn,28806,35.58987846,-82.58580024,Private room,65,1,98,4/15/2016,7.95,1,339
6698737,"Serene, spacious, cozy and clean!",29622653,Kelly,28806,35.57550567,-82.59314188,Private room,75,1,50,4/17/2016,4.67,1,337
7966916,West Asheville top floor sleeps 3,14686944,Jenifer,28806,35.57169346,-82.58846328,Private room,75,2,30,4/17/2016,4.48,1,109
2254521,The Mimosa Room,546222,Martha,28806,35.56892842,-82.56834179,Private room,65,1,16,1/30/2016,0.6,1,262
11392366,Eclectic Room with Jacuzzi tub,1320865,Cara,28806,35.57591583,-82.57173732,Private room,45,1,9,4/17/2016,5.63,1,87
3781780,West Asheville Bound,19403133,Richard,28806,35.57588648,-82.5896747,Private room,45,2,40,4/10/2016,1.95,1,365
7132603,Squash House,13467372,"Jamie, Bri, And Layne",28806,35.59079569,-82.58766041,Private room,80,1,21,4/17/2016,2.14,1,363
12245300,Bedroom in West Asheville Bungalow,9718884,Sally,28806,35.58066326,-82.57247253,Private room,60,1,0,,,1,156
10700627,Villa in W. Asheville near Downtown,47803024,Elizabeth,28806,35.58157168,-82.57057998,Private room,57,1,0,,,1,0
3645277,Cozy Cabin Studio Apartment,8260778,Patch,28806,35.57446578,-82.57383875,Private room,85,1,30,2/15/2016,1.41,2,334
9691595,artful room and private bath,2363511,Angela,28806,35.582173,-82.58981044,Private room,50,1,0,,,2,339
1493307,West Asheville Private Bed and Bath,7981022,Walter,28806,35.57333271,-82.5744066,Private room,58,2,29,8/18/2015,1.24,2,308
4937473,Close to everything!!!!!,19133972,Andrea,28806,35.58627195,-82.57655905,Private room,110,1,2,3/12/2015,0.13,2,365
7712679,400+ REVS Apt #7 in Artsy W ASHV!,940569,Cathy,28806,35.5828804,-82.59084853,Entire home/apt,65,7,5,4/5/2016,0.68,6,180
6054250,the rad pad,1826173,Meg,28806,35.57517236,-82.57826654,Entire home/apt,111,1,102,4/18/2016,8.38,1,198
6177422,"Great location, so cute and cozy",32045149,Katie And Jason,28806,35.58741249,-82.57695463,Entire home/apt,125,3,46,4/18/2016,4.02,1,279
612660,Charming Bungalow - Great Location,3039083,Chloe,28806,35.57901268,-82.58886837,Entire home/apt,105,3,52,2/12/2016,1.16,2,289
4764715,West AVL SCENT FREE Green Getaway,3441402,Susan,28806,35.57338566,-82.57340113,Entire home/apt,88,2,99,4/17/2016,6.24,1,301
11284356,Cozy Log Cabin near downtown,58951814,Xavier,28806,35.57050278,-82.57066649,Entire home/apt,175,2,7,4/18/2016,3.96,1,15
8282917,Cozy River Arts/ W. Asheville Apt.,12054902,Amber,28806,35.58203972,-82.57330117,Entire home/apt,96,2,36,4/12/2016,5,1,312
1785262,Bright Efficiency in West Asheville,5564999,Breccia,28806,35.5871321,-82.57521238,Entire home/apt,85,2,111,4/17/2016,3.7,2,68
11653712,Super Cool West Asheville Condo,21260531,Tracey,28806,35.57907032,-82.58772592,Entire home/apt,80,1,1,4/11/2016,1,1,296
5131525,"380 Reviews Apt #5, 
Artsy W ASHV!",940569,Cathy,28806,35.57867794,-82.58750889,Entire home/apt,101,3,12,4/4/2016,0.93,6,161
5354494,Cute 2 BR-Heart of Hip W. Asheville,27754937,Lauryl,28806,35.57472421,-82.59005975,Entire home/apt,99,2,46,2/1/2016,3.26,1,51
12250733,West AVL Urban Retreat near Park,6773853,Ricky,28806,35.56920584,-82.573584,Entire home/apt,145,1,2,4/21/2016,2,1,52
3741771,Urban Oasis,2392127,David And Melissa,28806,35.57964853,-82.58172417,Entire home/apt,115,1,127,4/17/2016,6.33,2,271
9756931,Walkable West Asheville Hideaway,34112754,Rebecca,28806,35.57572977,-82.58632292,Entire home/apt,125,2,1,12/27/2015,0.26,1,113
6480745,One block from Haywood Road,6074062,Mellissa,28806,35.57298399,-82.5899031,Entire home/apt,99,2,38,4/5/2016,3.57,3,307
4662490,West Asheville Couple's Retreat,18085000,Emily,28806,35.58205286,-82.59245588,Entire home/apt,99,2,6,4/18/2016,0.37,1,1
4830661,Dog Friendly West Asheville Cottage,9462156,Kathleen,28806,35.58013861,-82.57741983,Entire home/apt,120,2,40,4/12/2016,2.51,1,4
8895397,Cozy 2 bedroom. Short walk to WAVL,2661590,Kelly,28806,35.58394448,-82.59242675,Entire home/apt,135,2,21,3/26/2016,3.28,1,342
1332684,Sweet Studio - Walk West Asheville,2799158,Kari,28806,35.58339957,-82.59126096,Entire home/apt,90,2,176,4/11/2016,5.4,2,324
2454666,The Hideaway in West Asheville,10240937,Joe,28806,35.57942706,-82.58681578,Entire home/apt,140,2,60,3/20/2016,2.37,1,298
6599654,Artful Home in West Asheville,2363511,Angela,28806,35.58294191,-82.5886323,Entire home/apt,120,1,28,4/11/2016,3.57,2,337
2761822,Woodsy Retreat In Town,4752708,James,28806,35.58097185,-82.57643286,Entire home/apt,279,2,44,3/30/2016,1.82,1,13
8403131,Relax in West Asheville Homestay,20475301,Grace,28806,35.57521905,-82.5706397,Entire home/apt,260,2,24,4/18/2016,3.38,1,266
1948744,Modern/ Earthy West AVL Bungalow,10077483,Heidi,28806,35.57758553,-82.58514603,Entire home/apt,150,1,114,4/17/2016,3.86,2,351
12433546,Dog Friendly Bungalow in W. AVL,45476547,Morgan,28806,35.58721698,-82.57926639,Entire home/apt,115,2,0,,,1,25
3984596,1930's charmer in West Asheville,8260778,Patch,28806,35.57489394,-82.5717177,Entire home/apt,350,1,46,4/11/2016,2.43,2,327
3574658,Sweet spot in West Asheville,18001156,Robyn,28806,35.58661635,-82.5804642,Entire home/apt,140,2,40,4/4/2016,1.86,2,235
2843256,Great location- Walk to River Park,2939506,Heather,28806,35.57029963,-82.57323795,Entire home/apt,155,1,55,4/19/2016,2.52,1,345
9344195,Private Entrance Studio Suite,48495453,"Ken, And Patti",28806,35.57922905,-82.64258629,Private room,50,2,5,4/18/2016,1.81,1,294
6015623,Pinball Sanctuary West,31220775,Lea,28806,35.59136741,-82.63599525,Private room,82,2,36,4/11/2016,3.23,1,68
3544255,"Hot Tub! ""The Silver Bettie""! Glamp",4295819,Joanna And Josh,28806,35.5860041,-82.63440164,Entire home/apt,130,2,55,3/8/2016,3.11,4,299
6234618,West Asheville Efficiency Loft,32351091,Monica,28806,35.5821533,-82.61086157,Private room,55,2,36,4/9/2016,3.5,1,200
7995120,Trails End Cabin Pisgah Nat. Forest,722034,Ron,28806,35.49901852,-82.61658155,Entire home/apt,235,2,4,4/5/2016,1.17,2,330
3889212,Garage apartment close to downtown,1482216,Marilyn,28806,35.59889526,-82.59318988,Entire home/apt,80,2,19,4/17/2016,0.94,2,348
6741903,Bright & Artsy W. Asheville Home,8120727,Molly,28806,35.56904714,-82.59579756,Entire home/apt,280,3,10,12/27/2015,1,1,255
12144656,Cottage McIntyre/Minutes to Dtown!,43818498,Christine,28806,35.61662678,-82.59896073,Entire home/apt,175,2,0,,,1,297
